"CIE10","DESCRIPCION DIAGNOSTICO","GENERO","NÚMERO DE INCAPACIDADES","DIAS TOTALES INCAPACIDAD","PROMEDIO DIAS POR INCAPACIDAD","PERIODO DE CONSULTA"
"V290","CONDUCTOR DE MOTOCICLETA LESIONADO POR COLISIÓN CON OTROS VEHICULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE NO DE TRANSITO","F","1","3","3","01/07/2019-31/12/2020"
"V294","CONDUCTOR DE MOTOCICLETA LESIONADO POR COLISION CON OTROS VEHICULO DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE DE TRANSITO","F","1","5","5","01/07/2019-31/12/2020"
"V298","MOTOCICLISTA [CUALQUIERA] LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE ESPECIFICADOS","F","6","21","4","01/07/2019-31/12/2020"
"V299","MOTOCICLISTA [CUALQUIERA] LESIONADO EN ACCIDENTE DE TRANSITO NO ESPECIFICADO","F","3","8","3","01/07/2019-31/12/2020"
"V436","OCUPANTE DE AUTOMOVIL LESIONADO POR COLISION CON OTRO AUTOMOVIL, CAMIONETA O FURGONETA: PASAJERO LESIONADO EN ACCIDENTE DE TRANSITO","F","1","5","5","01/07/2019-31/12/2020"
"V490","CONDUCTOR DE AUTOMOVIL LESIONADO POR COLISION CON OTROS VEHICULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE NO DE TRANSITO","F","1","3","3","01/07/2019-31/12/2020"
"V494","CONDUCTOR DE AUTOMOVIL LESIONADO POR COLISION CON OTROS VEHICULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE DE TRANSITO","F","1","5","5","01/07/2019-31/12/2020"
"W108","CAIDA EN O DESDE ESCALERA Y ESCALONES: OTRO LUGAR ESPECIFICADO","F","1","3","3","01/07/2019-31/12/2020"
"W549","MORDEDURA O ATAQUE DE PERRO: LUGAR NO ESPECIFICADO","F","1","1","1","01/07/2019-31/12/2020"
"W570","MORDEDURA O PICADURA DE INSECTOS Y OTROS ARTROPODOS NO VENENOSOS: VIVIENDA","F","3","5","2","01/07/2019-31/12/2020"
"W571","MORDEDURA O PICADURA DE INSECTOS Y OTROS ARTROPODOS NO VENENOSOS: INSTITUCION RESIDENCIAL","F","1","3","3","01/07/2019-31/12/2020"
"W572","MORDEDURA O PICADURA DE INSECTOS Y OTROS ARTROPODOS NO VENENOSOS: ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIVAS PUBLICAS","F","1","1","1","01/07/2019-31/12/2020"
"X238","CONTACTO TRAUMATICO CON AVISPONES, AVISPAS Y ABEJAS: OTRO LUGAR ESPECIFICADO","F","1","2","2","01/07/2019-31/12/2020"
"X334","VICTIMA DE RAYO: CALLES Y CARRETERAS","F","1","5","5","01/07/2019-31/12/2020"
"Y072","OTROS SINDROMES DE MALTRATO: POR CONOCIDO O AMIGO","F","1","3","3","01/07/2019-31/12/2020"
"Z001","CONTROL DE SALUD DE RUTINA DEL NIÑO","F","2","2","1","01/07/2019-31/12/2020"
"Z003","EXAMEN DEL ESTADO DE DESARROLLO DEL ADOLESCENTE","F","1","1","1","01/07/2019-31/12/2020"
"Z041","EXAMEN Y OBSERVACION CONSECUTIVOS A ACCIDENTE DE TRANSPORTE","F","1","5","5","01/07/2019-31/12/2020"
"Z108","OTROS CONTROLES GENERALES DE SALUD DE RUTINA DE OTRAS SUBPOBLACIONES DEFINIDAS","F","2","10","5","01/07/2019-31/12/2020"
"Z115","EXAMEN DE PESQUISA ESPECIAL PARA OTRAS ENFERMEDADES VIRALES","F","1","15","15","01/07/2019-31/12/2020"
"Z290","AISLAMIENTO","F","2","10","5","01/07/2019-31/12/2020"
"Z300","CONSEJO Y ASESORAMIENTO GENERAL SOBRE LA ANTICONCEPCION","F","8","27","3","01/07/2019-31/12/2020"
"Z302","ESTERILIZACION","F","24","374","16","01/07/2019-31/12/2020"
"Z309","ASISTENCIA PARA LA ANTICONCEPCION, NO ESPECIFICADA","F","1","10","10","01/07/2019-31/12/2020"
"Z321","EMBARAZO CONFIRMADO","F","1","8","8","01/07/2019-31/12/2020"
"Z340","SUPERVISION DE PRIMER EMBARAZO NORMAL","F","3","141","47","01/07/2019-31/12/2020"
"Z348","SUPERVISION DE OTROS EMBARAZOS NORMALES","F","1","2","2","01/07/2019-31/12/2020"
"Z349","SUPERVISION DE EMBARAZO NORMAL NO ESPECIFICADO","F","1","2","2","01/07/2019-31/12/2020"
"Z352","SUPERVISION DE EMBARAZO CON OTRO RIESGO EN LA HISTORIA OBSTETRICA O REPRODUCTIVA","F","1","20","20","01/07/2019-31/12/2020"
"Z358","SUPERVISION DE OTROS EMBARAZOS DE ALTO RIESGO","F","6","122","20","01/07/2019-31/12/2020"
"Z359","SUPERVISION DE EMBARAZO DE ALTO RIESGO, SIN OTRA ESPECIFICACION","F","39","728","19","01/07/2019-31/12/2020"
"Z488","OTROS CUIDADOS ESPECIFICADOS POSTERIORES A LA CIRUGIA","F","6","468","78","01/07/2019-31/12/2020"
"Z489","CUIDADO POSTERIOR A LA CIRUGIA, NO ESPECIFICADO","F","2","133","67","01/07/2019-31/12/2020"
"Z540","CONVALECENCIA CONSECUTIVA A CIRUGIA","F","7","486","69","01/07/2019-31/12/2020"
"Z760","CONSULTA PARA REPETICION DE RECETA","F","1","1","1","01/07/2019-31/12/2020"
"Z761","CONSULTA PARA ATENCION Y SUPERVISION DE LA SALUD DEL NIÑO","F","2","2","1","01/07/2019-31/12/2020"
"Z762","CONSULTA PARA ATENCION Y SUPERVISION DE LA SALUD DE OTROS NIÑOS O LACTANTES SANOS","F","2","2","1","01/07/2019-31/12/2020"
"Z831","HISTORIA FAMILIAR DE OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS","F","1","1","1","01/07/2019-31/12/2020"
"Z933","COLOSTOMIA","F","1","14","14","01/07/2019-31/12/2020"
"Z961","PRESENCIA DE LENTES INTRAOCULARES","F","7","181","26","01/07/2019-31/12/2020"
"Z988","OTROS ESTADOS POSTQUIRURGICOS ESPECIFICADOS","F","74","2,289","31","01/07/2019-31/12/2020"
"A059","INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA","M","1","1","1","01/07/2019-31/12/2020"
"A060","DISENTERIA AMEBIANA AGUDA","M","1","2","2","01/07/2019-31/12/2020"
"A064","ABSCESO AMEBIANO DEL HIGADO","M","3","34","11","01/07/2019-31/12/2020"
"A09X","DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO","M","88","207","2","01/07/2019-31/12/2020"
"A279","LEPTOSPIROSIS, NO ESPECIFICADA","M","2","26","13","01/07/2019-31/12/2020"
"A90X","FIEBRE DEL DENGUE [DENGUE CLASICO]","M","164","824","5","01/07/2019-31/12/2020"
"A91X","FIEBRE DEL DENGUE HEMORRAGICO","M","8","55","7","01/07/2019-31/12/2020"
"A929","FIEBRE VIRAL TRANSMITIDA POR MOSQUITO, SIN OTRA ESPECIFICACION","M","2","8","4","01/07/2019-31/12/2020"
"B005","OCULOPATIA HERPETICA","M","2","5","3","01/07/2019-31/12/2020"
"B019","VARICELA SIN COMPLICACIONES","M","13","160","12","01/07/2019-31/12/2020"
"B029","HERPES ZOSTER SIN COMPLICACIONES","M","1","3","3","01/07/2019-31/12/2020"
"B07X","VERRUGAS VIRICAS","M","1","2","2","01/07/2019-31/12/2020"
"B082","EXANTEMA SUBITO [SEXTA ENFERMEDAD]","M","1","2","2","01/07/2019-31/12/2020"
"B150","HEPATITIS AGUDA TIPO A, SIN COMA HEPATICO","M","4","38","10","01/07/2019-31/12/2020"
"B199","HEPATITIS VIRAL NO ESPECIFICADA SIN COMA","M","2","16","8","01/07/2019-31/12/2020"
"B24X","ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH), SIN OTRA ESPECIFICACION","M","1","13","13","01/07/2019-31/12/2020"
"B308","OTRAS CONJUNTIVITIS VIRALES (H13.1*)","M","1","7","7","01/07/2019-31/12/2020"
"B342","INFECCION DEBIDA A CORONAVIRUS, SIN OTRA ESPECIFICACION","M","1","6","6","01/07/2019-31/12/2020"
"B349","INFECCION VIRAL, NO ESPECIFICADA","M","26","119","5","01/07/2019-31/12/2020"
"B369","MICOSIS SUPERFICIAL, SIN OTRA ESPECIFICACION","M","1","1","1","01/07/2019-31/12/2020"
"B571","ENFERMEDAD DE CHAGAS AGUDA QUE NO AFECTA AL CORAZON","M","1","15","15","01/07/2019-31/12/2020"
"B871","MIASIS EN HERIDAS","M","1","8","8","01/07/2019-31/12/2020"
"B942","SECUELAS DE HEPATITIS VIRAL","M","1","2","2","01/07/2019-31/12/2020"
"C028","LESION DE SITIOS CONTIGUOS DE LA LENGUA","M","2","17","9","01/07/2019-31/12/2020"
"C169","TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA","M","1","46","46","01/07/2019-31/12/2020"
"C182","TUMOR MALIGNO DEL COLON ASCENDENTE","M","2","60","30","01/07/2019-31/12/2020"
"C184","TUMOR MALIGNO DEL COLON TRANSVERSO","M","1","6","6","01/07/2019-31/12/2020"
"C448","LESION DE SITIOS CONTIGUOS DE LA PIEL","M","1","3","3","01/07/2019-31/12/2020"
"C490","TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DE LA CABEZA, CARA Y CUELLO","M","1","60","60","01/07/2019-31/12/2020"
"C491","TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO","M","1","7","7","01/07/2019-31/12/2020"
"C602","TUMOR MALIGNO DEL CUERPO DEL PENE","M","1","20","20","01/07/2019-31/12/2020"
"C61X","TUMOR MALIGNO DE LA PROSTATA","M","2","60","30","01/07/2019-31/12/2020"
"C629","TUMOR MALIGNO DEL TESTICULO, NO ESPECIFICADO","M","5","59","12","01/07/2019-31/12/2020"
"C845","OTROS LINFOMAS DE CELULAS Y LOS NO ESPECIFICADOS","M","2","25","13","01/07/2019-31/12/2020"
"D002","CARCINOMA IN SITU DEL ESTOMAGO","M","1","7","7","01/07/2019-31/12/2020"
"D103","TUMOR BENIGNO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA","M","1","4","4","01/07/2019-31/12/2020"
"D170","TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE CABEZA, CARA Y CUELLO","M","1","3","3","01/07/2019-31/12/2020"
"D171","TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DEL TRONCO","M","9","50","6","01/07/2019-31/12/2020"
"D172","TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE MIEMBROS","M","1","2","2","01/07/2019-31/12/2020"
"D210","TUMOR BENIGNO DEL TEJIDO CUNJUNTIVO Y DE OTROS TEJIDOS BLANDOS DE CABEZA, CARA Y CUELLO","M","1","3","3","01/07/2019-31/12/2020"
"D211","TUMOR BENIGNO DEL TEJIDO CUNJUNTIVO Y DE OTROS TEJIDOS BLANDOS DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO","M","1","3","3","01/07/2019-31/12/2020"
"D219","TUMOR BENIGNO DEL TEJIDO CUNJUNTIVO Y DE OTROS TEJIDOS BLANDOS, DE SITIO NO ESPECIFICADO","M","8","30","4","01/07/2019-31/12/2020"
"D235","TUMOR BENIGNO DE LA PIEL DEL TRONCO","M","1","1","1","01/07/2019-31/12/2020"
"D239","TUMOR BENIGNO DE LA PIEL, SITIO NO ESPECIFICADO","M","1","2","2","01/07/2019-31/12/2020"
"D334","TUMOR BENIGNO DE LA MEDULA ESPINAL","M","1","90","90","01/07/2019-31/12/2020"
"D373","TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL APENDICE","M","1","10","10","01/07/2019-31/12/2020"
"D443","TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA GLANDULA HIPOFISIS","M","1","7","7","01/07/2019-31/12/2020"
"D485","TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA PIEL","M","5","15","3","01/07/2019-31/12/2020"
"D500","ANEMIA POR DEFICIENCIA DE HIERRO SECUNDARIA A PERDIDA DE SANGRE (CRONICA)","M","1","10","10","01/07/2019-31/12/2020"
"D508","OTRAS ANEMIAS POR DEFICIENCIA DE HIERRO","M","1","5","5","01/07/2019-31/12/2020"
"D593","SINDROME HEMOLITICO-UREMICO","M","2","2","1","01/07/2019-31/12/2020"
"D649","ANEMIA DE TIPO NO ESPECIFICADO","M","2","23","12","01/07/2019-31/12/2020"
"D691","DEFECTOS CUALITATIVOS DE LAS PLAQUETAS","M","1","1","1","01/07/2019-31/12/2020"
"D696","TROMBOCITOPENIA NO ESPECIFICADA","M","2","6","3","01/07/2019-31/12/2020"
"E105","DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES CIRCULATORIAS PERIFERICAS","M","3","52","17","01/07/2019-31/12/2020"
"E106","DIABETES MELLITUS INSULINODEPENDIENTE CON OTRAS COMPLICACIONES ESPECIFICADAS","M","2","45","23","01/07/2019-31/12/2020"
"E107","DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES MULTIPLES","M","1","7","7","01/07/2019-31/12/2020"
"E118","DIABETES MELLITUS NO INSULINODEPENDIENTE CON COMPLICACIONES NO ESPECIFICADAS","M","2","7","4","01/07/2019-31/12/2020"
"E790","HIPERURICEMIA SIN SIGNOS DE ARTRITIS INFLAMATORIA Y ENFERMEDAD TOFACEA","M","1","2","2","01/07/2019-31/12/2020"
"E86X","DEPLECION DEL VOLUMEN","M","1","3","3","01/07/2019-31/12/2020"
"E878","OTROS TRASTORNOS DEL EQUILIBRIO DE LOS ELECTROLITOS Y DE LOS LIQUIDOS, NO CLASIFICADOS EN OTRA PARTE","M","1","7","7","01/07/2019-31/12/2020"
"F002","DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, ATIPICA O DE TIPO MIXTO (G30.8)","M","2","60","30","01/07/2019-31/12/2020"
"F064","TRASTORNO DE ANSIEDAD, ORGANICO","M","1","5","5","01/07/2019-31/12/2020"
"F068","OTROS TRASTORNOS MENTALES ESPECIFICADOS DEBIDOS A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA","M","2","60","30","01/07/2019-31/12/2020"
"F310","TRASTORNO AFECTIVO BIPOLAR, EPISODIO HIPOMANIACO PRESENTE","M","1","5","5","01/07/2019-31/12/2020"
"F321","EPISODIO DEPRESIVO MODERADO","M","1","1","1","01/07/2019-31/12/2020"
"F328","OTROS EPISODIOS DEPRESIVOS","M","1","5","5","01/07/2019-31/12/2020"
"F412","TRASTORNO MIXTO DE ANSIEDAD Y DEPRESION","M","4","41","10","01/07/2019-31/12/2020"
"F413","OTROS TRASTORNOS DE ANSIEDAD MIXTOS","M","1","30","30","01/07/2019-31/12/2020"
"F418","OTROS TRASTORNOS DE ANSIEDAD ESPECIFICADOS","M","2","8","4","01/07/2019-31/12/2020"
"F419","TRASTORNO DE ANSIEDAD , NO ESPECIFICADO","M","2","62","31","01/07/2019-31/12/2020"
"F808","OTROS TRASTORNOS DEL DESARROLLO DEL HABLA Y DEL LENGUAJE","M","1","10","10","01/07/2019-31/12/2020"
"G20X","ENFERMEDAD DE PARKINSON","M","2","120","60","01/07/2019-31/12/2020"
"G253","MIOCLONIA","M","1","8","8","01/07/2019-31/12/2020"
"G408","OTRAS EPILEPSIAS","M","3","12","4","01/07/2019-31/12/2020"
"G431","MIGRAÑA CON AURA [MIGRAÑA CLASICA]","M","2","4","2","01/07/2019-31/12/2020"
"G433","MIGRAÑA COMPLICADA","M","3","6","2","01/07/2019-31/12/2020"
"G438","OTRAS MIGRAÑAS","M","7","19","3","01/07/2019-31/12/2020"
"G439","MIGRAÑA, NO ESPECIFICADA","M","7","14","2","01/07/2019-31/12/2020"
"G440","SINDROME DE CEFALEA EN RACIMOS","M","1","2","2","01/07/2019-31/12/2020"
"G442","CEFALEA DEBIDA A TENSION","M","2","5","3","01/07/2019-31/12/2020"
"G443","CEFALEA POSTRAUMATICA CRONICA","M","1","15","15","01/07/2019-31/12/2020"
"G448","OTROS SINDROMES DE CEFALEA ESPECIFICADOS","M","6","11","2","01/07/2019-31/12/2020"
"G453","AMAUROSIS FUGAZ","M","1","1","1","01/07/2019-31/12/2020"
"G510","PARALISIS DE BELL","M","3","17","6","01/07/2019-31/12/2020"
"G513","ESPASMO HEMIFACIAL CLONICO","M","1","2","2","01/07/2019-31/12/2020"
"G540","TRASTORNOS DEL PLEXO BRAQUIAL","M","1","30","30","01/07/2019-31/12/2020"
"G551","COMPRESIONES DE LAS RAICES Y PLEXOS NERVIOSOS EN TRASTORNOS DE LOS DISCOS INTERVERTEBRALES (M50-M51)","M","1","10","10","01/07/2019-31/12/2020"
"G560","SINDROME DEL TUNEL CARPIANO","M","2","25","13","01/07/2019-31/12/2020"
"G562","LESION DEL NERVIO CUBITAL","M","1","30","30","01/07/2019-31/12/2020"
"G800","PARALISIS CEREBRAL ESPASTICA","M","1","1","1","01/07/2019-31/12/2020"
"G952","COMPRESION MEDULAR, NO ESPECIFICADA","M","1","90","90","01/07/2019-31/12/2020"
"H001","CALACIO [CHALAZION]","M","1","7","7","01/07/2019-31/12/2020"
"H045","ESTENOSIS E INSUFICIENCIA DE LAS VIAS LAGRIMALES","M","1","1","1","01/07/2019-31/12/2020"
"H100","CONJUNTIVITIS MUCOPURULENTA","M","1","5","5","01/07/2019-31/12/2020"
"H102","OTRAS CONJUNTIVITIS AGUDAS","M","1","1","1","01/07/2019-31/12/2020"
"H104","CONJUNTIVITIS CRONICA","M","2","2","1","01/07/2019-31/12/2020"
"H109","CONJUNTIVITIS, NO ESPECIFICADA","M","1","2","2","01/07/2019-31/12/2020"
"H110","PTERIGION","M","15","212","14","01/07/2019-31/12/2020"
"H112","CICATRICES CONJUNTIVALES","M","7","105","15","01/07/2019-31/12/2020"
"H113","HEMORRAGIA CONJUNTIVAL","M","1","15","15","01/07/2019-31/12/2020"
"H160","ULCERA DE LA CORNEA","M","2","15","8","01/07/2019-31/12/2020"
"H162","QUERATOCONJUNTIVITIS","M","1","4","4","01/07/2019-31/12/2020"
"H163","QUERATITIS INTERSTICIAL Y PROFUNDA","M","1","30","30","01/07/2019-31/12/2020"
"H169","QUERATITIS, NO ESPECIFICADA","M","1","30","30","01/07/2019-31/12/2020"
"H171","OTRAS OPACIDADES CENTRALES DE LA CORNEA","M","1","3","3","01/07/2019-31/12/2020"
"H179","CICATRIZ U OPACIDAD DE LA CORNEA, NO ESPECIFICADA","M","1","30","30","01/07/2019-31/12/2020"
"H186","QUERATOCONO","M","2","2","1","01/07/2019-31/12/2020"
"H188","OTROS TRASTORNOS ESPECIFICADOS DE LA CORNEA","M","2","20","10","01/07/2019-31/12/2020"
"H210","HIFEMA","M","5","40","8","01/07/2019-31/12/2020"
"H218","OTROS TRASTORNOS ESPECIFICADOS DEL IRIS Y DEL CUERPO CILIAR","M","1","1","1","01/07/2019-31/12/2020"
"H270","AFAQUIA","M","1","15","15","01/07/2019-31/12/2020"
"H310","CICATRICES CORIORRETINIANAS","M","2","3","2","01/07/2019-31/12/2020"
"H335","OTROS DESPRENDIMIENTO DE LA RETINA","M","1","30","30","01/07/2019-31/12/2020"
"H349","OCLUSION VASCULAR RETINIANA, SIN OTRA ESPECIFICACION","M","1","30","30","01/07/2019-31/12/2020"
"H353","DEGENERACION DE LA MACULA Y DEL POLO POSTERIOR DEL OJO","M","1","1","1","01/07/2019-31/12/2020"
"H354","DEGENERACION PERIFERICA DE LA RETINA","M","1","7","7","01/07/2019-31/12/2020"
"H400","SOSPECHA DE GLAUCOMA","M","1","1","1","01/07/2019-31/12/2020"
"H401","GLAUCOMA PRIMARIO DE ANGULO ABIERTO","M","1","1","1","01/07/2019-31/12/2020"
"H402","GLAUCOMA PRIMARIO DE ANGULO CERRADO","M","1","15","15","01/07/2019-31/12/2020"
"H403","GLAUCOMA SECUNDARIO A TRAUMATISMO OCULAR","M","1","10","10","01/07/2019-31/12/2020"
"H405","GLAUCOMA SECUNDARIO A OTROS TRASTORNOS DEL OJO","M","3","70","23","01/07/2019-31/12/2020"
"H433","OTRAS OPACIDADES VITREAS","M","1","14","14","01/07/2019-31/12/2020"
"H438","OTROS TRASTORNOS DEL CUERPO VITREO","M","1","4","4","01/07/2019-31/12/2020"
"H46X","NEURITIS OPTICA","M","2","20","10","01/07/2019-31/12/2020"
"H500","ESTRABISMO CONCOMITANTE CONVERGENTE","M","2","2","1","01/07/2019-31/12/2020"
"H527","TRASTORNO DE LA REFRACCION, NO ESPECIFICADO","M","1","1","1","01/07/2019-31/12/2020"
"H547","DISMINUCION DE LA AGUDEZA VISUAL, SIN ESPECIFICACION","M","1","7","7","01/07/2019-31/12/2020"
"H571","DOLOR OCULAR","M","1","2","2","01/07/2019-31/12/2020"
"H579","TRASTORNO DEL OJO Y SUS ANEXOS, NO ESPECIFICADO","M","2","5","3","01/07/2019-31/12/2020"
"H608","OTRAS OTITIS EXTERNAS","M","1","2","2","01/07/2019-31/12/2020"
"H619","TRASTORNO DEL OIDO EXTERNO, NO ESPECIFICADO","M","1","3","3","01/07/2019-31/12/2020"
"H659","OTITIS MEDIA NO SUPURATIVA, SIN OTRA ESPECIFICACION","M","3","8","3","01/07/2019-31/12/2020"
"H669","OTITIS MEDIA, NO ESPECIFICADA","M","1","1","1","01/07/2019-31/12/2020"
"H720","PERFORACION CENTRAL DE LA MEMBRANA TIMPANICA","M","1","20","20","01/07/2019-31/12/2020"
"H811","VERTIGO PAROXISTICO BENIGNO","M","4","20","5","01/07/2019-31/12/2020"
"H813","OTROS VERTIGOS PERIFERICOS","M","13","84","6","01/07/2019-31/12/2020"
"H830","LABERINTITIS","M","1","5","5","01/07/2019-31/12/2020"
"H920","OTALGIA","M","2","5","3","01/07/2019-31/12/2020"
"H939","TRASTORNO DEL OIDO, NO ESPECIFICADO","M","1","2","2","01/07/2019-31/12/2020"
"I10X","HIPERTENSION ESENCIAL (PRIMARIA)","M","4","43","11","01/07/2019-31/12/2020"
"I255","CARDIOMIOPATIA ISQUEMICA","M","5","230","46","01/07/2019-31/12/2020"
"I471","TAQUICARDIA SUPRAVENTRICULAR","M","1","2","2","01/07/2019-31/12/2020"
"I48X","FIBRILACION Y ALETEO AURICULAR","M","3","42","14","01/07/2019-31/12/2020"
"I509","INSUFICIENCIA CARDIACA, NO ESPECIFICADA","M","1","12","12","01/07/2019-31/12/2020"
"I679","ENFERMEDAD CEREBROVASCULAR, NO ESPECIFICADA","M","5","47","9","01/07/2019-31/12/2020"
"I800","FLEBITIS Y TROMBOFLEBITIS DE VASOS SUPERFICIALES DE LOS MIEMBROS INFERIORES","M","1","15","15","01/07/2019-31/12/2020"
"I828","EMBOLIA Y TROMBOSIS DE OTRAS VENAS ESPECIFICADAS","M","1","18","18","01/07/2019-31/12/2020"
"I839","VENAS VARICOSAS DE LOS MIEMBROS INFERIORES SIN ULCERA NI INFLAMACION","M","1","10","10","01/07/2019-31/12/2020"
"I842","HEMORROIDES INTERNAS SIN COMPLICACION","M","1","10","10","01/07/2019-31/12/2020"
"I848","HEMORROIDES NO ESPECIFICADAS, CON OTRAS COMPLICACIONES","M","2","28","14","01/07/2019-31/12/2020"
"I861","VARICES ESCROTALES","M","7","45","6","01/07/2019-31/12/2020"
"I872","INSUFICIENCIA VENOSA (CRONICA) (PERIFERICA)","M","3","17","6","01/07/2019-31/12/2020"
"I878","OTROS TRASTORNOS VENOSOS ESPECIFICADOS","M","1","3","3","01/07/2019-31/12/2020"
"I958","OTROS TIPOS DE HIPOTENSION","M","1","4","4","01/07/2019-31/12/2020"
"J00X","RINOFARINGITIS AGUDA (RESFRIADO COMUN)","M","41","177","4","01/07/2019-31/12/2020"
"J018","OTRAS SINUSITIS AGUDAS","M","1","8","8","01/07/2019-31/12/2020"
"J019","SINUSITIS AGUDA, NO ESPECIFICADA","M","1","1","1","01/07/2019-31/12/2020"
"J029","FARINGITIS AGUDA, NO ESPECIFICADA","M","10","81","8","01/07/2019-31/12/2020"
"J030","AMIGDALITIS ESTREPTOCOCICA","M","4","11","3","01/07/2019-31/12/2020"
"J039","AMIGDALITIS AGUDA, NO ESPECIFICADA","M","13","21","2","01/07/2019-31/12/2020"
"J040","LARINGITIS AGUDA","M","2","6","3","01/07/2019-31/12/2020"
"J068","OTRAS INFECCIONES AGUDAS DE SITIOS MULTIPLES DE LAS VIAS RESPIRATORIAS SUPERIORES","M","2","18","9","01/07/2019-31/12/2020"
"J069","INFECCION AGUDA DE LAS VIAS RESPIRATORIAS SUPERIORES, NO ESPECIFICADA","M","12","66","6","01/07/2019-31/12/2020"
"J100","INFLUENZA CON NEUMONIA, DEBIDA A VIRUS DE LA INFLUENZA IDENTIFICADO","M","1","15","15","01/07/2019-31/12/2020"
"J151","NEUMONIA DEBIDA A PSEUDOMONAS","M","1","25","25","01/07/2019-31/12/2020"
"J158","OTRAS NEUMONIAS BACTERIANAS","M","5","53","11","01/07/2019-31/12/2020"
"J159","NEUMONIA BACTERIANA, NO ESPECIFICADA","M","8","77","10","01/07/2019-31/12/2020"
"J180","BRONCONEUMONIA, NO ESPECIFICADA","M","3","37","12","01/07/2019-31/12/2020"
"J189","NEUMONIA, NO ESPECIFICADA","M","3","39","13","01/07/2019-31/12/2020"
"J209","BRONQUITIS AGUDA, NO ESPECIFICADA","M","56","254","5","01/07/2019-31/12/2020"
"J22X","INFECCION AGUDA NO ESPECIFICADA DE LAS VIAS RESPIRATORIAS INFERIORES","M","44","314","7","01/07/2019-31/12/2020"
"J304","RINITIS ALERGICA, NO ESPECIFICADA","M","1","1","1","01/07/2019-31/12/2020"
"J342","DESVIACION DEL TABIQUE NASAL","M","1","14","14","01/07/2019-31/12/2020"
"J350","AMIGDALITIS CRONICA","M","1","15","15","01/07/2019-31/12/2020"
"J352","HIPERTROFIA DE LAS ADENOIDES","M","1","8","8","01/07/2019-31/12/2020"
"J353","HIPERTROFIA DE LAS AMIGDALAS CON HIPERTROFIA DE LAS ADENOIDES","M","4","56","14","01/07/2019-31/12/2020"
"J36X","ABSCESO PERIAMIGDALINO","M","1","2","2","01/07/2019-31/12/2020"
"J399","ENFERMEDAD DE LAS VIAS RESPIRATORIAS SUPERIORES, NO ESPECIFICADA","M","4","30","8","01/07/2019-31/12/2020"
"J441","ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA CON EXACERBACION AGUDA, NO ESPECIFICADA","M","1","12","12","01/07/2019-31/12/2020"
"J450","ASMA PREDOMINANTEMENTE ALERGICA","M","1","1","1","01/07/2019-31/12/2020"
"J458","ASMA MIXTA","M","1","5","5","01/07/2019-31/12/2020"
"J459","ASMA, NO ESPECIFICADA","M","3","9","3","01/07/2019-31/12/2020"
"J46X","ESTADO ASMATICO","M","2","4","2","01/07/2019-31/12/2020"
"J80X","SINDROME DE DIFICULTAD RESPIRATORIA DEL ADULTO","M","2","17","9","01/07/2019-31/12/2020"
"J90X","DERRAME PLEURAL NO CLASIFICADO EN OTRA PARTE","M","1","1","1","01/07/2019-31/12/2020"
"J942","HEMOTORAX","M","1","7","7","01/07/2019-31/12/2020"
"J960","INSUFICIENCIA RESPIRATORIA AGUDA","M","1","3","3","01/07/2019-31/12/2020"
"K001","DIENTES SUPERNUMERARIOS","M","1","2","2","01/07/2019-31/12/2020"
"K010","DIENTES INCLUIDOS","M","69","291","4","01/07/2019-31/12/2020"
"K021","CARIES DE LA DENTINA","M","1","1","1","01/07/2019-31/12/2020"
