"CIE10","DESCRIPCION DIAGNOSTICO","GENERO","NÚMERO DE INCAPACIDADES","DIAS TOTALES INCAPACIDAD","PROMEDIO DIAS POR INCAPACIDAD","PERIODO DE CONSULTA"
"Z969","PRESENCIA DE IMPLANTES FUNCIONALES NO ESPECIFICADOS","F","1","3","3","01/01/2019-30/06/2019"
"A058","OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS","M","1","3","3","01/01/2019-30/06/2019"
"B028","HERPES ZOSTER CON OTRAS COMPLICACIONES","M","1","1","1","01/01/2019-30/06/2019"
"C189","TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA","M","2","60","30","01/01/2019-30/06/2019"
"C23X","TUMOR MALIGNO DE LA VESICULA BILIAR","M","1","4","4","01/01/2019-30/06/2019"
"C260","TUMOR MALIGNO DEL INTESTINO, PARTE NO ESPECIFICADA","M","1","30","30","01/01/2019-30/06/2019"
"C64X","TUMOR MALIGNO DEL RIÑON, EXCEPTO DE LA PELVIS RENAL","M","1","30","30","01/01/2019-30/06/2019"
"C679","TUMOR MALIGNO DE LA VEJIGA URINARIA, PARTE NO ESPECIFICADA","M","1","20","20","01/01/2019-30/06/2019"
"C691","TUMOR MALIGNO DE LA CORNEA","M","1","15","15","01/01/2019-30/06/2019"
"D759","ENFERMEDAD DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS, NO ESPECIFICADA","M","1","1","1","01/01/2019-30/06/2019"
"E876","HIPOPOTASMIA","M","1","90","90","01/01/2019-30/06/2019"
"F130","TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: INTOXICACION AGUDA","M","2","4","2","01/01/2019-30/06/2019"
"F329","EPISODIO DEPRESIVO, NO ESPECIFICADO","M","1","5","5","01/01/2019-30/06/2019"
"F711","RETRASO MENTAL MODERADO: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO","M","1","1","1","01/01/2019-30/06/2019"
"G009","MENINGITIS BACTERIANA, NO ESPECIFICADA","M","1","16","16","01/01/2019-30/06/2019"
"G468","OTROS SINDROMES VASCULARES ENCEFALICOS EN ENFERMEDADES CEREBROVASCULARES (I60-I67)","M","1","15","15","01/01/2019-30/06/2019"
"H171","OTRAS OPACIDADES CENTRALES DE LA CORNEA","M","1","1","1","01/01/2019-30/06/2019"
"H401","GLAUCOMA PRIMARIO DE ANGULO ABIERTO","M","1","1","1","01/01/2019-30/06/2019"
"I229","INFARTO SUBSECUENTE DEL MIOCARDIO DE PARTE NO ESPECIFICADA","M","1","15","15","01/01/2019-30/06/2019"
"I339","ENDOCARDITIS AGUDA, NO ESPECIFICADA","M","1","25","25","01/01/2019-30/06/2019"
"I775","NECROSIS ARTERIAL","M","1","15","15","01/01/2019-30/06/2019"
"J398","OTRAS ENFERMEDADES ESPECIFICADAS DE LAS VIAS RESPIRATORIAS SUPERIORES","M","1","2","2","01/01/2019-30/06/2019"
"K021","CARIES DE LA DENTINA","M","1","1","1","01/01/2019-30/06/2019"
"K131","MORDEDURA DEL LABIO Y DE LA MEJILLA","M","1","1","1","01/01/2019-30/06/2019"
"L080","PIODERMA","M","1","3","3","01/01/2019-30/06/2019"
